context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
i want to go to *STOP,12,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",Going to *TO_STOP.,You want to go to *TO_STOP.,You want to go to *TO_STOP.,i want to go to Houston Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Houston Street"")",Going to Houston Street.,You want to go to Houston Street.,You want to go to Houston Street.
from *STOP t-,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",You want to start from *FROM_STOP.,OK you want from *FROM_STOP.,You want to go from *FROM_STOP.,from Herald Square t-,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Herald Square"")",You want to start from Herald Square.,OK you want from Herald Square.,You want to go from Herald Square.
yes i want to depart from *STOP yes,1,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)",You want to travel from *FROM_STOP. Where do you want to go to?,You want to depart from *FROM_STOP and go where?,"Confirming from *FROM_STOP, but where to?",yes i want to depart from Delancey Street yes,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""Delancey Street"")&request(to_stop)",You want to travel from Delancey Street. Where do you want to go to?,You want to depart from Delancey Street and go where?,"Confirming from Delancey Street, but where to?"
i'm traveling from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)","Yes, from *FROM_STOP. But where you would like to go?",From *FROM_STOP to where?,"OK sir but I need you to tell me the destination of your travel, from *FROM_STOP to where?",i'm traveling from Cortlandt Street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Cortlandt Street"")&request(to_stop)","Yes, from Cortlandt Street. But where you would like to go?",From Cortlandt Street to where?,"OK sir but I need you to tell me the destination of your travel, from Cortlandt Street to where?"
no i want to go to *STOP,2,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I did not find information on how to go to *TO_STOP.,I apologize such a route to *TO_STOP not found.,I did not find a route to *TO_STOP.,no i want to go to Rector Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Rector Street"")",I did not find information on how to go to Rector Street.,I apologize such a route to Rector Street not found.,I did not find a route to Rector Street.
from *STOP t-,1,"inform(from_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",Please use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You can take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,from Cathedral Parkway t-,"inform(from_stop=""*STOP"")","inform(direction=""Columbus Circle"")&inform(from_stop=""Cathedral Parkway"")&inform(vehicle=""bus"")&inform(line=""M60"")&inform(departure_time=""11:07pm"")",Please use bus M60 at 11:07pm from Cathedral Parkway to Columbus Circle.,Take line M60 bus at 11:07pm from Cathedral Parkway direction Columbus Circle.,You can take the M60 bus at 11:07pm from Cathedral Parkway to Columbus Circle.
i want to go i want to go from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",Coming from *FROM_STOP.,You would like to go from *FROM_STOP.,"OK then sir, from *FROM_STOP it is.",i want to go i want to go from City Hall,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""City Hall"")",Coming from City Hall.,You would like to go from City Hall.,"OK then sir, from City Hall it is."
is there a connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","iconfirm(departure_time_rel=""*DEPARTURE_TIME_REL"")",In *DEPARTURE_TIME_REL minutes.,In *DEPARTURE_TIME_REL minutes.,I'll check for a connection in *DEPARTURE_TIME_REL minutes.,is there a connection in thirty minutes,"inform(departure_time_rel=""0:30"")","iconfirm(departure_time_rel=""0:30"")",In 30 minutes.,In 30 minutes.,I'll check for a connection in 30 minutes.
yes i want to go from *STOP to *STOP on the *VEHICLE,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")&inform_no_match(vehicle=""*VEHICLE"")","Apologies, a *VEHICLE connection from *FROM_STOP to *TO_STOP is not found.","I'm sorry, I could not find you a *VEHICLE connection from *FROM_STOP to *TO_STOP.",Sorry I cannot find directions from *FROM_STOP to *TO_STOP on the *VEHICLE.,yes i want to go from Rector Street to Bryant Park on the subway,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""subway"")","inform_no_match(from_stop=""Rector Street"")&inform_no_match(to_stop=""Bryant Park"")&inform_no_match(vehicle=""subway"")","Apologies, a subway connection from Rector Street to Bryant Park is not found.","I'm sorry, I could not find you a subway connection from Rector Street to Bryant Park.",Sorry I cannot find directions from Rector Street to Bryant Park on the subway.
use *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","By *VEHICLE, from what station and to what direction?",You want to use the *VEHICLE but I need you to tell me from where and to where you want to go?,You want a *VEHICLE connection. Where are you traveling from and where is your destination?,use subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","By subway, from what station and to what direction?",You want to use the subway but I need you to tell me from where and to where you want to go?,You want a subway connection. Where are you traveling from and where is your destination?
at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go?,From where to where?,From where to where do you want to go?,at ten am,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go?,From where to where?,From where to where do you want to go?
okay what if i'd rather ride the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",You want to go on the *VEHICLE.,You'd rather ride the *VEHICLE.,"I understand that you would rather ride the *VEHICLE, correct?",okay what if i'd rather ride the subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")",You want to go on the subway.,You'd rather ride the subway.,"I understand that you would rather ride the subway, correct?"
alright if i go by *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,Take the *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,Then I suggest to take *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,alright if i go by subway,"inform(vehicle=""subway"")","inform(direction=""Columbia University"")&inform(from_stop=""Dyckman Street"")&inform(vehicle=""subway"")&inform(line=""F"")&inform(departure_time=""7:02am"")",Take subway line F at 7:02am from Dyckman Street direction Columbia University.,Take the subway line F at 7:02am from Dyckman Street direction Columbia University.,Then I suggest to take subway F at 7:02am from Dyckman Street to Columbia University.
i am traveling to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sorry I cannot find a connection to *TO_STOP.,I'm sorry there are no methods of transport currently going to *TO_STOP.,"I'm sorry, a connection to *TO_STOP is not found.",i am traveling to Broad Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Broad Street"")",I'm sorry I cannot find a connection to Broad Street.,I'm sorry there are no methods of transport currently going to Broad Street.,"I'm sorry, a connection to Broad Street is not found."
how long will the journey take,1,request(duration),"inform(duration=""*DURATION"")",It takes *DURATION to get there.,The journey will take *DURATION.,About *DURATION.,how long will the journey take,request(duration),"inform(duration=""51 minutes"")",It takes 51 minutes to get there.,The journey will take 51 minutes.,About 51 minutes.
i want to go from *STOP,3,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")","OK, you want to go from *FROM_STOP.",So you want to travel from *FROM_STOP.,You are traveling from *FROM_STOP.,i want to go from Bowery,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Bowery"")","OK, you want to go from Bowery.",So you want to travel from Bowery.,You are traveling from Bowery.
alright if i go by *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",You want to take the *VEHICLE.,"Yes, *VEHICLE.",I understand you are going by *VEHICLE.,alright if i go by subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")",You want to take the subway.,"Yes, subway.",I understand you are going by subway.
an alternative at *NUMBER *AMPM by *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")&inform_no_match(vehicle=""*VEHICLE"")",A *VEHICLE at *DEPARTURE_TIME *AMPM is not found.,I'm sorry there is no *VEHICLE connection at *DEPARTURE_TIME *AMPM.,"I'm sorry, an alternative *VEHICLE at *DEPARTURE_TIME *AMPM is not found.",an alternative at two pm by bus,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")&inform(vehicle=""bus"")","inform_no_match(departure_time=""2:00"")&inform_no_match(ampm=""pm"")&inform_no_match(vehicle=""bus"")",A bus at 2:00 pm is not found.,I'm sorry there is no bus connection at 2:00 pm.,"I'm sorry, an alternative bus at 2:00 pm is not found."
i would like the *VEHICLE connection from *STOP,1,"inform(from_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")",request(to_stop),To what station are you going?,Where would you like to go to?,"To where, sir?",i would like the subway connection from Delancey Street,"inform(from_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")",request(to_stop),To what station are you going?,Where would you like to go to?,"To where, sir?"
i want to arrive at *STOP how long will it take,1,"inform(to_stop=""*STOP"")&request(duration)","inform(duration=""*DURATION"")",It will take *DURATION.,It takes *DURATION.,No more than *DURATION.,i want to arrive at Grand Central how long will it take,"inform(to_stop=""*STOP"")&request(duration)","inform(duration=""26 minutes"")",It will take 26 minutes.,It takes 26 minutes.,No more than 26 minutes.
i would like to travel from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,*FROM_STOP to *TO_STOP is not found.,No route found from *FROM_STOP to *TO_STOP.,i would like to travel from Astor Place to Bowery,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Astor Place"")&inform_no_match(to_stop=""Bowery"")",I'm sorry there is no connection from Astor Place to Bowery.,Astor Place to Bowery is not found.,No route found from Astor Place to Bowery.
no i want to go from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")",From *FROM_STOP to *TO_STOP.,You want to go from *FROM_STOP to *TO_STOP.,"OK, you want to go from *FROM_STOP to *TO_STOP.",no i want to go from Cortlandt Street to Lincoln Center,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""Cortlandt Street"")&iconfirm(to_stop=""Lincoln Center"")",From Cortlandt Street to Lincoln Center.,You want to go from Cortlandt Street to Lincoln Center.,"OK, you want to go from Cortlandt Street to Lincoln Center."
yes how do i get from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I apologize but such a route not found *FROM_STOP to *TO_STOP.,Not found from *FROM_STOP to *TO_STOP.,I'm sorry I cannot find a connection from *FROM_STOP to *TO_STOP.,yes how do i get from East Broadway to Canal Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""East Broadway"")&inform_no_match(to_stop=""Canal Street"")",I apologize but such a route not found East Broadway to Canal Street.,Not found from East Broadway to Canal Street.,I'm sorry I cannot find a connection from East Broadway to Canal Street.
i need to go from *STOP to *STOP,1,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&iconfirm(from_stop=""*FROM_STOP"")","You wish to travel to *TO_STOP, starting from *FROM_STOP.",You need to go from *FROM_STOP to *TO_STOP.,"Yes, I can help you get to *TO_STOP from *FROM_STOP.",i need to go from Marble Hill to Park Place,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","iconfirm(to_stop=""Park Place"")&iconfirm(from_stop=""Marble Hill"")","You wish to travel to Park Place, starting from Marble Hill.",You need to go from Marble Hill to Park Place.,"Yes, I can help you get to Park Place from Marble Hill."
i wanna leave at *NUMBER *AMPM by *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")",You want to leave at *DEPARTURE_TIME *AMPM by *VEHICLE.,You want to take the *VEHICLE at *DEPARTURE_TIME *AMPM.,I'll check for a *DEPARTURE_TIME *AMPM *VEHICLE route.,i wanna leave at ten am by subway,"inform(departure_time=""*TIME"")&inform(ampm=""am"")&inform(vehicle=""subway"")","iconfirm(departure_time=""10:00"")&iconfirm(ampm=""am"")&iconfirm(vehicle=""subway"")",You want to leave at 10:00 am by subway.,You want to take the subway at 10:00 am.,I'll check for a 10:00 am subway route.
yes i like to travel to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",From where to *TO_STOP?,"OK, you want to travel to *TO_STOP, where do you wish to leave from?","Traveling to *TO_STOP, what station are you coming from?",yes i like to travel to City Hall,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""City Hall"")&request(from_stop)",From where to City Hall?,"OK, you want to travel to City Hall, where do you wish to leave from?","Traveling to City Hall, what station are you coming from?"
i need -tation route departing from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",You want to depart from *FROM_STOP.,"Alrighty then, from *FROM_STOP.",I confirm you wish to travel from *FROM_STOP.,i need -tation route departing from Fulton Street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Fulton Street"")",You want to depart from Fulton Street.,"Alrighty then, from Fulton Street.",I confirm you wish to travel from Fulton Street.
and i'm going to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",From where going to *TO_STOP?,I understand that you are going to *TO_STOP. Where are you coming from.,You are going to *TO_STOP. From where?,and i'm going to Penn Station,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Penn Station"")&request(from_stop)",From where going to Penn Station?,I understand that you are going to Penn Station. Where are you coming from.,You are going to Penn Station. From where?
